REPORTDATE,VALUE
2013-12-30,3417092149.0
2014-01-04,3417092149.0
2014-01-09,3560465236.0
2014-01-14,3513671586.0
2014-01-19,3480217265.0
2014-01-24,3330499862.0
2014-01-29,4333581643.0
2014-02-03,4021820774.0
2014-02-08,4331913019.0
2014-02-13,4498689242.0
2014-02-18,4395088176.0
2014-02-23,4345473440.0
2014-02-28,5010720003.0
2014-03-05,5020275275.0
2014-03-10,5158888234.0
2014-03-15,5218812326.0
2014-03-20,4982596073.0
2014-03-25,5286682266.0
2014-03-30,5057058712.0
2014-04-04,4586070003.0
2014-04-09,4811372218.0
2014-04-14,4750931378.0
2014-04-19,4567693793.0
2014-04-24,4416849426.0
2014-04-29,16828540812.0
2014-05-04,17311052888.0
2014-05-09,17330289781.0
2014-05-14,17312632126.0
2014-05-19,17118645449.0
2014-05-24,17072051290.0
2014-05-29,17206823472.0
2014-06-03,17232582353.0
2014-06-08,17421856161.0
2014-06-13,19298440795.0
2014-06-18,17695742965.0
2014-06-23,17818139078.0
2014-06-28,17930946570.0
2014-07-03,19447531613.0
2014-07-08,22018579049.0
2014-07-13,20266933046.0
2014-07-18,20167445508.0
2014-07-23,19492894100.0
2014-07-28,18680890039.0
2014-08-02,18529343554.0
2014-08-07,20356205769.0
2014-08-12,21099920902.0
2014-08-17,19406728718.0
2014-08-22,18521865540.0
2014-08-27,18959581889.0
2014-09-01,17842438513.0
2014-09-06,19175854331.0
2014-09-11,21297842724.0
2014-09-16,19306316854.0
2014-09-21,18067469497.0
2014-09-26,17824637391.0
2014-10-01,18680486574.0
2014-10-06,19111793038.0
2014-10-11,20375010848.0
2014-10-16,18890170792.0
2014-10-21,16977073977.0
2014-10-26,16977073977.0
2014-10-31,17330151485.0
2014-11-05,18514002053.0
2014-11-10,19654876228.0
2014-11-15,17353633845.0
2014-11-20,16540838380.0
2014-11-25,16462485364.0
2014-11-30,16763365333.0
2014-12-05,16722327259.0
2014-12-10,18924713864.0
2014-12-15,16939438827.0
2014-12-20,14801571032.0
2014-12-25,15233591723.0
2014-12-30,17452425921.0
2015-01-04,16010735177.0
2015-01-09,16505141860.0
2015-01-14,15520893725.0
2015-01-19,14159513317.0
2015-01-24,13482734339.0
2015-01-29,13883178718.0
2015-02-03,14488396492.0
2015-02-08,15455724884.0
2015-02-13,16523492399.0
2015-02-18,13875585751.0
2015-02-23,13492970568.0
2015-02-28,13873474441.0
2015-03-05,15375006290.0
2015-03-10,16058658848.0
2015-03-15,15149239982.0
2015-03-20,14885857036.0
2015-03-25,13596359736.0
2015-03-30,13772002655.0
2015-04-04,15025100270.0
2015-04-09,16569847999.0
2015-04-14,15698313730.0
2015-04-19,15420734471.0
2015-04-24,14570485125.0
2015-04-29,14503358262.0
2015-05-04,15862756352.0
2015-05-09,16719933104.0
2015-05-14,16678421670.0
2015-05-19,15048197739.0
2015-05-24,14521037711.0
2015-05-29,15315764940.0
2015-06-03,16974254315.0
2015-06-08,18028647547.0
2015-06-13,17762266635.0
2015-06-18,17503080023.0
2015-06-23,16630726661.0
2015-06-28,17245969781.0
2015-07-03,19051338741.0
2015-07-08,19887203450.0
2015-07-13,19806235105.0
2015-07-18,18669910539.0
2015-07-23,17639896242.0
2015-07-28,17223763186.0
2015-08-02,17928462401.0
2015-08-07,19739350639.0
2015-08-12,21363757951.0
2015-08-17,19297627402.0
2015-08-22,17267783831.0
2015-08-27,16670825212.0
2015-09-01,18061313455.0
2015-09-06,19198233664.0
2015-09-11,21573432972.0
2015-09-16,18500059884.0
2015-09-21,17035858779.0
2015-09-26,16956645202.0
2015-10-01,17768765929.0
2015-10-06,19366369800.0
2015-10-11,20297737169.0
2015-10-16,19639039158.0
2015-10-21,18051318393.0
2015-10-26,17394806510.0
2015-10-31,17986984778.0
2015-11-05,19318020199.0
2015-11-10,21149322358.0
2015-11-15,19078302861.0
2015-11-20,18095237393.0
2015-11-25,17866287820.0
2015-11-30,17869230882.0
2015-12-05,19515785826.0
2015-12-10,23657210965.0
2015-12-15,21423256326.0
2015-12-20,19008322661.0
2015-12-25,20220125450.0
2015-12-30,22692272499.0
2016-01-04,20932094794.0
2016-01-09,21133158761.0
2016-01-14,20169329725.0
2016-01-19,18504683415.0
2016-01-24,17635747462.0
2016-01-29,18241599563.0
2016-02-03,19451372574.0
2016-02-08,20566749051.0
2016-02-13,19654143817.0
2016-02-18,19030968129.0
2016-02-23,17839199362.0
2016-02-28,18224109143.0
2016-03-04,21627544169.0
2016-03-09,22374519876.0
2016-03-14,20292876017.0
2016-03-19,20292876017.0
2016-03-24,18143004493.0
2016-03-29,18422401351.0
2016-04-03,20471986253.0
2016-04-08,21634683280.0
2016-04-13,21701620532.0
2016-04-18,20708492006.0
2016-04-23,19843667739.0
2016-04-28,21139288184.0
2016-05-03,22265898786.0
2016-05-08,24250086403.0
2016-05-13,25153659690.0
2016-05-18,22117498379.0
2016-05-23,22384523107.0
2016-05-28,22897399786.0
2016-06-02,24337145361.0
2016-06-07,27000913759.0
2016-06-12,27880230477.0
2016-06-17,26002229836.0
2016-06-22,25424435322.0
2016-06-27,25996813987.0
2016-07-02,26249508672.0
2016-07-07,28723150174.0
2016-07-12,30376201521.0
2016-07-17,28028638721.0
2016-07-22,28142333445.0
2016-07-27,26409185055.0
2016-08-01,26463438298.0
2016-08-06,27770425139.0
2016-08-11,30433074143.0
2016-08-16,27492160506.0
2016-08-21,25771625017.0
2016-08-26,24965603254.0
2016-08-31,25017520126.0
2016-09-05,26302195410.0
2016-09-10,29100056178.0
2016-09-15,27611622722.0
2016-09-20,25323776089.0
2016-09-25,25109527548.0
2016-09-30,26020390601.0
2016-10-05,29652752798.0
2016-10-10,31034898585.0
2016-10-15,28378497880.0
2016-10-20,27419574813.0
2016-10-25,27173462523.0
2016-10-30,27786440852.0
2016-11-04,29438664384.0
2016-11-09,33620788767.0
2016-11-14,29512266572.0
2016-11-19,27942305250.0
2016-11-24,27525239924.0
2016-11-29,28085969441.0
2016-12-04,30608649155.0
2016-12-09,32684121460.0
2016-12-14,33669499447.0
2016-12-19,33669499447.0
2016-12-24,33844560963.0
2016-12-29,36298569125.0
2017-01-03,35041164690.0
2017-01-08,35264932746.0
2017-01-13,36130790639.0
2017-01-18,30899663836.0
2017-01-23,30751295390.0
2017-01-28,30660138759.0
2017-02-02,31763353627.0
2017-02-07,33478984043.0
2017-02-12,34848557838.0
2017-02-17,32040739177.0
2017-02-22,30503592675.0
2017-02-27,30693272528.0
2017-03-04,31606139289.0
2017-03-09,35074197630.0
2017-03-14,33690323369.0
2017-03-19,34347835304.0
2017-03-24,31609545952.0
2017-03-29,31571633534.0
2017-04-03,32170573587.0
2017-04-08,35613644913.0
2017-04-13,37648219587.0
2017-04-18,33581498680.0
2017-04-23,32954686191.0
2017-04-28,34470462250.0
2017-05-03,36394304692.0
2017-05-08,37627866284.0
2017-05-13,37523906308.0
2017-05-18,36593912277.0
2017-05-23,35618644009.0
2017-05-28,35396695924.0
2017-06-02,36410737573.0
2017-06-07,43763690155.0
2017-06-12,42262255920.0
2017-06-17,38982800742.0
2017-06-22,37844678104.0
2017-06-27,38338368561.0
2017-07-02,42815715241.0
2017-07-07,43916875560.0
2017-07-12,46448415168.0
2017-07-17,44036975188.0
2017-07-22,40881107685.0
2017-07-27,40765992453.0
2017-08-01,42404361837.0
2017-08-06,44568326896.0
2017-08-11,48104210363.0
2017-08-16,41803730760.0
2017-08-21,39113821850.0
2017-08-26,38317659274.0
2017-08-31,38487525390.0
2017-09-05,42257559193.0
2017-09-10,43424621320.0
2017-09-15,40306440555.0
2017-09-20,38236004368.0
2017-09-25,37605120972.0
2017-09-30,39081223924.0
2017-10-05,43193571890.0
2017-10-10,40677396025.0
2017-10-15,36436592486.0
2017-10-20,34597009446.0
2017-10-25,37760018072.0
2017-10-30,38667378918.0
2017-11-04,39827885423.0
2017-11-09,43915389317.0
2017-11-14,39782553310.0
2017-11-19,37494235779.0
2017-11-24,37522574156.0
2017-11-29,39013576213.0
2017-12-04,42055020693.0
2017-12-09,45485094154.0
2017-12-14,44602835096.0
2017-12-19,44602835096.0
2017-12-24,43379037105.0
2017-12-29,51490636641.0
2018-01-03,46275321651.0
2018-01-08,48634080628.0
2018-01-13,46087662151.0
2018-01-18,43990206571.0
2018-01-23,41921106500.0
2018-01-28,41921106500.0
2018-02-02,42539258500.0
2018-02-07,49680200809.0
2018-02-12,47588931812.0
2018-02-17,43322484371.0
2018-02-22,42632427680.0
2018-02-27,42886772988.0
2018-03-04,45678484030.0
2018-03-09,50124056000.0
2018-03-14,44431678247.0
2018-03-19,43196383946.0
2018-03-24,39072158579.0
2018-03-29,40975470589.0
2018-04-03,43389841020.0
2018-04-08,46889988275.0
2018-04-13,44263054983.0
2018-04-18,38809541178.0
2018-04-23,37297102277.0
2018-04-28,43773571579.0
2018-05-03,50282066242.0
2018-05-08,50282066242.0
2018-05-13,42920394102.0
2018-05-18,42622399114.0
2018-05-23,45302062014.0
2018-05-28,46393269415.0
2018-06-02,46393269415.0
2018-06-07,57956087272.0
2018-06-12,55583228676.0
2018-06-17,51152882457.0
2018-06-22,49064360692.0
2018-06-27,49490933064.0
2018-07-02,51109132518.0
2018-07-07,55182913399.0
2018-07-12,58349708728.0
2018-07-17,53200941029.0
2018-07-22,50663018718.0
2018-07-27,49794444900.0
2018-08-01,51762387592.0
2018-08-06,57112428131.0
2018-08-11,57402158309.0
2018-08-16,51971316206.0
2018-08-21,48717200546.0
2018-08-26,47930293960.0
2018-08-31,47930293960.0
2018-09-05,52049637625.0
2018-09-10,55429519051.0
2018-09-15,52598647290.0
2018-09-20,48312926483.0
2018-09-25,47812770546.0
2018-09-30,49372100131.0
2018-10-05,53600450319.0
2018-10-10,62173977750.0
2018-10-15,56096390677.0
2018-10-20,55050994178.0
2018-10-25,54195909423.0
2018-10-30,56444687969.0
2018-11-04,57998112236.0
2018-11-09,65790456348.0
2018-11-14,60524051928.0
2018-11-19,56345911687.0
2018-11-24,54485925486.0
2018-11-29,55478147995.0
2018-12-04,58532356474.0
2018-12-09,68090563413.0
2018-12-14,70309457938.0
2018-12-19,60611810819.0
2018-12-24,60950067433.0
2018-12-29,70288978644.0
2019-01-03,65632036889.0
2019-01-08,65599640012.0
2019-01-13,63437220861.0
2019-01-18,61582013781.0
2019-01-23,56415039339.0
2019-01-28,56400367406.0
2019-02-02,63665257952.0
2019-02-07,69725536942.0
2019-02-12,68747793441.0
2019-02-17,66082035691.0
2019-02-22,62860069956.0
2019-02-27,62650562579.0
2019-03-04,65953971951.0
2019-03-09,74208568292.0
2019-03-14,67080500917.0
2019-03-19,64531656905.0
2019-03-24,61648175875.0
2019-03-29,60779125016.0
2019-04-03,66632026252.0
2019-04-08,71712049126.0
2019-04-13,71542962845.0
2019-04-18,68468904474.0
2019-04-23,63112071855.0
2019-04-28,60909239774.0
2019-05-03,65632317138.0
2019-05-08,73555567407.0
2019-05-13,68205384736.0
2019-05-18,63511687621.0
2019-05-23,64586440517.0
2019-05-28,61076196177.0
2019-06-02,64214756082.0
2019-06-07,69997542693.0
2019-06-12,73651461320.0
2019-06-17,67587393646.0
2019-06-22,64205553807.0
2019-06-27,64029864562.0
2019-07-02,67014192206.0
2019-07-07,72844268859.0
2019-07-12,78228598454.0
2019-07-17,68004580387.0
2019-07-22,64146175057.0
2019-07-27,63587722027.0
2019-08-01,65169936729.0
2019-08-06,71082640151.0
2019-08-11,74216637841.0
2019-08-16,71851032484.0
2019-08-21,63275099302.0
2019-08-26,60647507843.0
2019-08-31,61158180425.0
2019-09-05,67827416879.0
2019-09-10,72925242456.0
2019-09-15,65343174889.0
2019-09-20,63202473102.0
2019-09-25,61043421719.0
2019-09-30,63239094079.0
2019-10-05,66115288637.0
2019-10-10,72307860851.0
